Country,Year,emissions
Crime,Year 2009,180988920 
Crime,Year 2010,205850748 
Crime,Year 2011,199979670 
Crime,Year 2012,154097517 
Crime,Year 2013,482213347 
Crime,Year 2014,411354378 
Crime,Year 2015,136513669 
Crime,Year 2016,277497348 
Drama,Year 1986,419407320 
Drama,Year 1987,417017220 
Drama,Year 1988,499233108 
Drama,Year 1989,376605782 
Drama,Year 1990,629614802 
Drama,Year 1991,666501711 
Drama,Year 1992,666501711 
Drama,Year 1993,885184485 
Drama,Year 1994,576606764 
Drama,Year 1995,545666368 
Drama,Year 1996,569645842 
Drama,Year 1997,1257474073 
Drama,Year 1998,922308764 
Drama,Year 1999,1122026497 
Drama,Year 2000,808739307 
Drama,Year 2001,875299312 
Drama,Year 2002,1273222050 
Drama,Year 2003,456768599 
Drama,Year 2004,1228575430 
Drama,Year 2005,940449514 
Drama,Year 2006,916743338 
Drama,Year 2007,911668532 
Drama,Year 2008,1321964921 
Drama,Year 2009,843696248 
Drama,Year 2010,832192083 
Drama,Year 2011,782438329 
Drama,Year 2012,1005520415 
Drama,Year 2013,788557417 
Drama,Year 2014,709842379 
Drama,Year 2015,1065443374 
Drama,Year 2016,527227270 
Horror,Year 1986,106328013 
Horror,Year 1987,52368254 
Horror,Year 1988,169317504 
Horror,Year 1989,101420227 
Horror,Year 1990,57429324 
Horror,Year 1991,9193849 
Horror,Year 1992,9193849 
Horror,Year 1993,17692603 
Horror,Year 1994,9624386 
Horror,Year 1995,55055871 
Horror,Year 1996,148441170 
Horror,Year 1997,260059775 
Horror,Year 1998,218337295 
Horror,Year 1999,283323348 
Horror,Year 2000,278731616 
Horror,Year 2001,235957340 
Horror,Year 2002,173013689 
Horror,Year 2003,291158543 
Horror,Year 2004,208361276 
Horror,Year 2005,374215670 
Horror,Year 2006,447495241 
Horror,Year 2007,498492436 
Horror,Year 2008,317481021 
Horror,Year 2009,360978137 
Horror,Year 2010,334913697 
Horror,Year 2011,256939179 
Horror,Year 2012,277699523 
Horror,Year 2013,364963534 
Horror,Year 2014,211315887 
Horror,Year 2015,263565084 
Horror,Year 2016,443672343 
